year,prefecture,respondent_count,self_pref_kl,self_bureau_kl,other_bureau_kl,total_kl,self_pref_pct,self_bureau_pct,other_bureau_pct,source,region
2019,北海道,12.0,3612.0,,579.0,4191.0,86.2,,13.8,新概況 r02,北海道
2019,青森,15.0,2641.0,207.0,937.0,3785.0,69.8,5.5,24.8,新概況 r02,東北
2019,岩手,20.0,3089.0,193.0,888.0,4170.0,74.1,4.6,21.3,新概況 r02,東北
2019,宮城,26.0,3044.0,2514.0,2202.0,7761.0,39.2,32.4,28.4,新概況 r02,東北
2019,秋田,32.0,5468.0,2895.0,9214.0,17578.0,31.1,16.5,52.4,新概況 r02,東北
2019,山形,49.0,3725.0,698.0,4579.0,9003.0,41.4,7.8,50.9,新概況 r02,東北
2019,福島,55.0,5843.0,873.0,5731.0,12448.0,46.9,7.0,46.0,新概況 r02,東北
2019,茨城,33.0,1604.0,163.0,1158.0,2925.0,54.8,5.6,39.6,新概況 r02,関東
2019,栃木,29.0,1808.0,1523.0,3961.0,7291.0,24.8,20.9,54.3,新概況 r02,関東
2019,群馬,16.0,1274.0,77.0,290.0,1641.0,77.7,4.7,17.7,新概況 r02,関東
2019,埼玉,26.0,3971.0,1317.0,14588.0,19876.0,20.0,6.6,73.4,新概況 r02,関東
2019,千葉,23.0,1783.0,3738.0,5869.0,11390.0,15.7,32.8,51.5,新概況 r02,関東
2019,東京,8.0,1275.0,96.0,210.0,1581.0,80.6,6.1,13.3,新概況 r02,関東
2019,神奈川,8.0,429.0,175.0,67.0,671.0,63.9,26.1,10.0,新概況 r02,関東
2019,新潟,84.0,20325.0,4338.0,13457.0,38120.0,53.3,11.4,35.3,新概況 r02,中部
2019,富山,16.0,2446.0,691.0,800.0,3937.0,62.1,17.6,20.3,新概況 r02,中部
2019,石川,21.0,2855.0,225.0,1975.0,5055.0,56.5,4.5,39.1,新概況 r02,中部
2019,福井,23.0,1340.0,59.0,1470.0,2869.0,46.7,2.1,51.2,新概況 r02,中部
2019,山梨,11.0,630.0,263.0,132.0,1025.0,61.5,25.6,12.9,新概況 r02,中部
2019,長野,74.0,6420.0,249.0,3257.0,9926.0,64.7,2.5,32.8,新概況 r02,中部
2019,岐阜,40.0,2107.0,835.0,1734.0,4676.0,45.1,17.9,37.1,新概況 r02,中部
2019,静岡,26.0,2225.0,93.0,1086.0,3403.0,65.4,2.7,31.9,新概況 r02,中部
2019,愛知,32.0,4925.0,1345.0,6115.0,12385.0,39.8,10.9,49.4,新概況 r02,中部
2019,三重,29.0,1101.0,228.0,896.0,2225.0,49.5,10.3,40.3,新概況 r02,中部
2019,滋賀,27.0,1063.0,256.0,369.0,1688.0,63.0,15.2,21.9,新概況 r02,近畿
2019,京都,33.0,2993.0,9660.0,48743.0,61396.0,4.9,15.7,79.4,新概況 r02,近畿
2019,大阪,14.0,707.0,107.0,77.0,891.0,79.3,12.1,8.6,新概況 r02,近畿
2019,兵庫,55.0,20792.0,18931.0,75853.0,115576.0,18.0,16.4,65.6,新概況 r02,近畿
2019,奈良,29.0,849.0,927.0,826.0,2602.0,32.6,35.6,31.8,新概況 r02,近畿
2019,和歌山,11.0,972.0,430.0,697.0,2100.0,46.3,20.5,33.2,新概況 r02,近畿
2019,鳥取,17.0,528.0,41.0,236.0,805.0,65.5,5.1,29.3,新概況 r02,中国
2019,島根,26.0,1304.0,167.0,603.0,2074.0,62.9,8.1,29.1,新概況 r02,中国
2019,岡山,36.0,1507.0,121.0,1010.0,2638.0,57.1,4.6,38.3,新概況 r02,中国
2019,広島,35.0,5585.0,227.0,3082.0,8894.0,62.8,2.5,34.7,新概況 r02,中国
2019,山口,32.0,1449.0,419.0,4771.0,6639.0,21.8,6.3,71.9,新概況 r02,中国
2019,徳島,15.0,361.0,33.0,51.0,444.0,81.2,7.4,11.4,新概況 r02,四国
2019,香川,4.0,679.0,101.0,251.0,1032.0,65.8,9.8,24.4,新概況 r02,四国
2019,愛媛,32.0,1178.0,232.0,320.0,1730.0,68.1,13.4,18.5,新概況 r02,四国
2019,高知,17.0,1832.0,490.0,2765.0,5086.0,36.0,9.6,54.4,新概況 r02,四国
2019,福岡,40.0,2766.0,125.0,1250.0,4140.0,66.8,3.0,30.2,新概況 r02,九州・沖縄
2019,佐賀,20.0,2013.0,351.0,735.0,3099.0,64.9,11.3,23.7,新概況 r02,九州・沖縄
2019,長崎,12.0,833.0,159.0,111.0,1103.0,75.5,14.4,10.0,新概況 r02,九州・沖縄
2019,熊本,9.0,833.0,29.0,250.0,1113.0,74.9,2.6,22.5,新概況 r02,九州・沖縄
2019,大分,27.0,1466.0,104.0,873.0,2443.0,60.0,4.3,35.7,新概況 r02,九州・沖縄
2019,宮崎,2.0,,,,,,,,新概況 r02,九州・沖縄
2019,鹿児島,1.0,,,,,,,,新概況 r02,九州・沖縄
2019,沖縄,1.0,,,,,,,,新概況 r02,九州・沖縄
2020,北海道,12.0,2628.0,,148.0,2776.0,94.7,,5.3,新概況 r03,北海道
2020,青森,16.0,2158.0,146.0,751.0,3055.0,70.7,4.8,24.6,新概況 r03,東北
2020,岩手,17.0,2037.0,133.0,1125.0,3296.0,61.8,4.0,34.1,新概況 r03,東北
2020,宮城,30.0,2690.0,2185.0,1825.0,6700.0,40.1,32.6,27.2,新概況 r03,東北
2020,秋田,28.0,4532.0,2751.0,8604.0,15887.0,28.5,17.3,54.2,新概況 r03,東北
2020,山形,49.0,3463.0,458.0,3003.0,6924.0,50.0,6.6,43.4,新概況 r03,東北
2020,福島,58.0,4887.0,676.0,5923.0,11486.0,42.5,5.9,51.6,新概況 r03,東北
2020,茨城,34.0,1078.0,102.0,1077.0,2257.0,47.8,4.5,47.7,新概況 r03,関東
2020,栃木,25.0,1497.0,1185.0,3607.0,6289.0,23.8,18.8,57.4,新概況 r03,関東
2020,群馬,20.0,1152.0,124.0,266.0,1542.0,74.7,8.1,17.3,新概況 r03,関東
2020,埼玉,27.0,2423.0,1328.0,14083.0,17835.0,13.6,7.4,79.0,新概況 r03,関東
2020,千葉,28.0,1882.0,3268.0,5268.0,10418.0,18.1,31.4,50.6,新概況 r03,関東
2020,東京,11.0,1096.0,132.0,75.0,1303.0,84.1,10.1,5.8,新概況 r03,関東
2020,神奈川,9.0,439.0,196.0,77.0,712.0,61.6,27.6,10.8,新概況 r03,関東
2020,新潟,88.0,17070.0,3095.0,11029.0,31193.0,54.7,9.9,35.4,新概況 r03,中部
2020,富山,16.0,2602.0,536.0,951.0,4089.0,63.6,13.1,23.3,新概況 r03,中部
2020,石川,21.0,1867.0,195.0,1649.0,3711.0,50.3,5.3,44.4,新概況 r03,中部
2020,福井,19.0,1049.0,80.0,1278.0,2407.0,43.6,3.3,53.1,新概況 r03,中部
2020,山梨,10.0,582.0,304.0,86.0,972.0,59.9,31.2,8.9,新概況 r03,中部
2020,長野,72.0,4992.0,244.0,2680.0,7916.0,63.1,3.1,33.9,新概況 r03,中部
2020,岐阜,37.0,1407.0,617.0,1393.0,3417.0,41.2,18.1,40.8,新概況 r03,中部
2020,静岡,17.0,1304.0,170.0,865.0,2339.0,55.8,7.3,37.0,新概況 r03,中部
2020,愛知,30.0,3749.0,1102.0,5027.0,9879.0,38.0,11.2,50.9,新概況 r03,中部
2020,三重,18.0,613.0,122.0,493.0,1228.0,49.9,10.0,40.2,新概況 r03,中部
2020,滋賀,26.0,898.0,252.0,319.0,1469.0,61.2,17.2,21.7,新概況 r03,近畿
2020,京都,34.0,2550.0,9047.0,44246.0,55843.0,4.6,16.2,79.2,新概況 r03,近畿
2020,大阪,13.0,554.0,88.0,62.0,705.0,78.7,12.6,8.8,新概況 r03,近畿
2020,兵庫,56.0,17965.0,13744.0,63370.0,95078.0,18.9,14.5,66.6,新概況 r03,近畿
2020,奈良,26.0,1679.0,562.0,616.0,2856.0,58.8,19.7,21.6,新概況 r03,近畿
2020,和歌山,13.0,804.0,370.0,604.0,1777.0,45.2,20.8,34.0,新概況 r03,近畿
2020,鳥取,13.0,309.0,28.0,123.0,460.0,67.3,6.1,26.7,新概況 r03,中国
2020,島根,22.0,1001.0,137.0,451.0,1590.0,63.0,8.6,28.4,新概況 r03,中国
2020,岡山,37.0,1263.0,104.0,725.0,2093.0,60.4,5.0,34.7,新概況 r03,中国
2020,広島,34.0,4432.0,123.0,2721.0,7276.0,60.9,1.7,37.4,新概況 r03,中国
2020,山口,28.0,778.0,227.0,3076.0,4081.0,19.1,5.6,75.4,新概況 r03,中国
2020,徳島,14.0,273.0,28.0,41.0,342.0,79.8,8.3,11.9,新概況 r03,四国
2020,香川,5.0,635.0,87.0,238.0,959.0,66.2,9.1,24.8,新概況 r03,四国
2020,愛媛,25.0,942.0,202.0,199.0,1344.0,70.1,15.0,14.8,新概況 r03,四国
2020,高知,16.0,1415.0,434.0,1723.0,3572.0,39.6,12.1,48.2,新概況 r03,四国
2020,福岡,40.0,2007.0,81.0,626.0,2714.0,73.9,3.0,23.1,新概況 r03,九州・沖縄
2020,佐賀,21.0,1591.0,284.0,709.0,2585.0,61.6,11.0,27.4,新概況 r03,九州・沖縄
2020,長崎,11.0,582.0,125.0,80.0,787.0,73.9,15.9,10.2,新概況 r03,九州・沖縄
2020,熊本,8.0,649.0,23.0,183.0,855.0,76.0,2.7,21.4,新概況 r03,九州・沖縄
2020,大分,26.0,1092.0,62.0,713.0,1867.0,58.5,3.3,38.2,新概況 r03,九州・沖縄
2020,宮崎,2.0,,,,,,,,新概況 r03,九州・沖縄
2020,鹿児島,1.0,,,,,,,,新概況 r03,九州・沖縄
2020,沖縄,1.0,,,,,,,,新概況 r03,九州・沖縄
2021,北海道,14.0,2778.0,,218.0,2996.0,92.7,,7.3,新概況 r04,北海道
2021,青森,17.0,1989.0,141.0,738.0,2869.0,69.3,4.9,25.7,新概況 r04,東北
2021,岩手,16.0,1976.0,115.0,430.0,2521.0,78.4,4.5,17.1,新概況 r04,東北
2021,宮城,27.0,2494.0,1928.0,1623.0,6044.0,41.3,31.9,26.8,新概況 r04,東北
2021,秋田,27.0,4469.0,2789.0,8448.0,15705.0,28.5,17.8,53.8,新概況 r04,東北
2021,山形,48.0,2973.0,500.0,3172.0,6645.0,44.7,7.5,47.7,新概況 r04,東北
2021,福島,61.0,4399.0,644.0,5902.0,10945.0,40.2,5.9,53.9,新概況 r04,東北
2021,茨城,25.0,675.0,31.0,126.0,832.0,81.1,3.8,15.1,新概況 r04,関東
2021,栃木,21.0,1286.0,1015.0,3471.0,5772.0,22.3,17.6,60.1,新概況 r04,関東
2021,群馬,19.0,1049.0,422.0,263.0,1734.0,60.5,24.3,15.2,新概況 r04,関東
2021,埼玉,28.0,3879.0,1347.0,14853.0,20078.0,19.3,6.7,74.0,新概況 r04,関東
2021,千葉,27.0,1873.0,3039.0,4657.0,9569.0,19.6,31.8,48.7,新概況 r04,関東
2021,東京,8.0,940.0,84.0,64.0,1087.0,86.5,7.7,5.9,新概況 r04,関東
2021,神奈川,8.0,371.0,190.0,66.0,627.0,59.1,30.4,10.5,新概況 r04,関東
2021,新潟,85.0,16548.0,3107.0,13206.0,32862.0,50.4,9.5,40.2,新概況 r04,中部
2021,富山,16.0,2347.0,527.0,805.0,3679.0,63.8,14.3,21.9,新概況 r04,中部
2021,石川,21.0,1136.0,90.0,839.0,2066.0,55.0,4.4,40.6,新概況 r04,中部
2021,福井,20.0,1065.0,61.0,1122.0,2248.0,47.4,2.7,49.9,新概況 r04,中部
2021,山梨,9.0,484.0,281.0,83.0,849.0,57.0,33.1,9.8,新概況 r04,中部
2021,長野,71.0,4512.0,201.0,3222.0,7935.0,56.9,2.5,40.6,新概況 r04,中部
2021,岐阜,43.0,1126.0,468.0,674.0,2268.0,49.7,20.6,29.7,新概況 r04,中部
2021,静岡,18.0,1170.0,60.0,964.0,2193.0,53.3,2.7,43.9,新概況 r04,中部
2021,愛知,33.0,5441.0,1125.0,5114.0,11680.0,46.6,9.6,43.8,新概況 r04,中部
2021,三重,19.0,677.0,189.0,742.0,1609.0,42.1,11.8,46.1,新概況 r04,中部
2021,滋賀,30.0,701.0,332.0,385.0,1418.0,49.4,23.4,27.1,新概況 r04,近畿
2021,京都,33.0,2744.0,1609.0,16666.0,21019.0,13.1,7.7,79.3,新概況 r04,近畿
2021,大阪,16.0,515.0,84.0,55.0,655.0,78.7,12.9,8.4,新概況 r04,近畿
2021,兵庫,55.0,22432.0,15549.0,71400.0,109381.0,20.5,14.2,65.3,新概況 r04,近畿
2021,奈良,25.0,1308.0,609.0,783.0,2700.0,48.4,22.6,29.0,新概況 r04,近畿
2021,和歌山,14.0,839.0,432.0,464.0,1734.0,48.4,24.9,26.7,新概況 r04,近畿
2021,鳥取,15.0,366.0,34.0,191.0,591.0,61.9,5.8,32.3,新概況 r04,中国
2021,島根,27.0,964.0,142.0,438.0,1544.0,62.4,9.2,28.4,新概況 r04,中国
2021,岡山,38.0,1069.0,128.0,619.0,1816.0,58.9,7.0,34.1,新概況 r04,中国
2021,広島,29.0,1844.0,382.0,1929.0,4155.0,44.4,9.2,46.4,新概況 r04,中国
2021,山口,30.0,1023.0,238.0,3349.0,4610.0,22.2,5.2,72.6,新概況 r04,中国
2021,徳島,12.0,178.0,9.0,23.0,210.0,85.0,4.1,10.9,新概況 r04,四国
2021,香川,6.0,485.0,63.0,220.0,767.0,63.2,8.2,28.6,新概況 r04,四国
2021,愛媛,27.0,731.0,187.0,190.0,1108.0,66.0,16.9,17.1,新概況 r04,四国
2021,高知,15.0,1220.0,326.0,1594.0,3140.0,38.8,10.4,50.8,新概況 r04,四国
2021,福岡,37.0,1542.0,96.0,420.0,2059.0,74.9,4.7,20.4,新概況 r04,九州・沖縄
2021,佐賀,22.0,1366.0,263.0,723.0,2352.0,58.1,11.2,30.7,新概況 r04,九州・沖縄
2021,長崎,10.0,470.0,136.0,85.0,690.0,68.1,19.6,12.3,新概況 r04,九州・沖縄
2021,熊本,9.0,469.0,19.0,140.0,628.0,74.7,2.9,22.4,新概況 r04,九州・沖縄
2021,大分,27.0,916.0,66.0,628.0,1609.0,56.9,4.1,39.0,新概況 r04,九州・沖縄
