prefecture,sake_type,production_20deg_kl,brewery_count,year
北海道,清酒全体,2346.0,,2020
神奈川,清酒全体,504.0,,2020
鳥取,清酒全体,414.0,,2020
青森,清酒全体,2514.0,,2020
山梨,清酒全体,6444.0,,2020
島根,清酒全体,1077.0,,2020
岩手,清酒全体,1468.0,,2020
富山,清酒全体,2614.0,,2020
岡山,清酒全体,1329.0,,2020
宮城,清酒全体,4000.0,,2020
石川,清酒全体,3123.0,,2020
広島,清酒全体,4625.0,,2020
秋田,清酒全体,11744.0,,2020
福井,清酒全体,1774.0,,2020
山口,清酒全体,6121.0,,2020
山形,清酒全体,5160.0,,2020
岐阜,清酒全体,2590.0,,2020
徳島,清酒全体,254.0,,2020
福島,清酒全体,7572.0,,2020
静岡,清酒全体,2239.0,,2020
香川,清酒全体,433.0,,2020
茨城,清酒全体,1810.0,,2020
愛知,清酒全体,7567.0,,2020
愛媛,清酒全体,826.0,,2020
栃木,清酒全体,5829.0,,2020
三重,清酒全体,1597.0,,2020
高知,清酒全体,3105.0,,2020
群馬,清酒全体,1494.0,,2020
滋賀,清酒全体,2368.0,,2020
福岡,清酒全体,2021.0,,2020
埼玉,清酒全体,17378.0,,2020
京都,清酒全体,55262.0,,2020
佐賀,清酒全体,1657.0,,2020
新潟,清酒全体,24964.0,,2020
大阪,清酒全体,485.0,,2020
長崎,清酒全体,465.0,,2020
長野,清酒全体,4769.0,,2020
兵庫,清酒全体,91621.0,,2020
熊本,清酒全体,432.0,,2020
千葉,清酒全体,5292.0,,2020
奈良,清酒全体,1670.0,,2020
大分,清酒全体,1540.0,,2020
東京,清酒全体,831.0,,2020
和歌山,清酒全体,1194.0,,2020
北海道,清酒全体,2840.0,14.0,2021
青森,清酒全体,2622.0,17.0,2021
岩手,清酒全体,2117.0,21.0,2021
宮城,清酒全体,4475.0,28.0,2021
秋田,清酒全体,11605.0,30.0,2021
山形,清酒全体,5614.0,45.0,2021
福島,清酒全体,6637.0,56.0,2021
茨城,清酒全体,1891.0,28.0,2021
栃木,清酒全体,6039.0,24.0,2021
群馬,清酒全体,1672.0,17.0,2021
埼玉,清酒全体,14958.0,26.0,2021
新潟,清酒全体,26370.0,85.0,2021
長野,清酒全体,5002.0,67.0,2021
千葉,清酒全体,5412.0,21.0,2021
東京,清酒全体,927.0,7.0,2021
神奈川,清酒全体,493.0,11.0,2021
山梨,清酒全体,6698.0,10.0,2021
富山,清酒全体,2214.0,15.0,2021
石川,清酒全体,2829.0,25.0,2021
福井,清酒全体,2184.0,22.0,2021
岐阜,清酒全体,2895.0,42.0,2021
静岡,清酒全体,2679.0,26.0,2021
愛知,清酒全体,7604.0,32.0,2021
三重,清酒全体,1731.0,27.0,2021
滋賀,清酒全体,2435.0,30.0,2021
京都,清酒全体,50263.0,36.0,2021
大阪,清酒全体,461.0,12.0,2021
兵庫,清酒全体,91794.0,58.0,2021
奈良,清酒全体,1868.0,26.0,2021
和歌山,清酒全体,1420.0,9.0,2021
鳥取,清酒全体,353.0,10.0,2021
島根,清酒全体,908.0,24.0,2021
岡山,清酒全体,983.0,23.0,2021
広島,清酒全体,5730.0,37.0,2021
山口,清酒全体,6429.0,21.0,2021
徳島,清酒全体,263.0,10.0,2021
香川,清酒全体,542.0,7.0,2021
愛媛,清酒全体,809.0,21.0,2021
高知,清酒全体,3241.0,18.0,2021
福岡,清酒全体,2070.0,38.0,2021
佐賀,清酒全体,1656.0,21.0,2021
長崎,清酒全体,504.0,10.0,2021
熊本,清酒全体,473.0,9.0,2021
大分,清酒全体,1056.0,18.0,2021
北海道,純米酒,1051.0,14.0,2021
青森,純米酒,1050.0,14.0,2021
岩手,純米酒,453.0,18.0,2021
宮城,純米酒,1954.0,26.0,2021
秋田,純米酒,1869.0,30.0,2021
山形,純米酒,1333.0,37.0,2021
福島,純米酒,1797.0,49.0,2021
茨城,純米酒,398.0,24.0,2021
栃木,純米酒,828.0,19.0,2021
群馬,純米酒,280.0,16.0,2021
埼玉,純米酒,983.0,23.0,2021
新潟,純米酒,2599.0,69.0,2021
長野,純米酒,1115.0,58.0,2021
千葉,純米酒,373.0,14.0,2021
東京,純米酒,284.0,6.0,2021
神奈川,純米酒,148.0,9.0,2021
山梨,純米酒,1491.0,10.0,2021
富山,純米酒,181.0,11.0,2021
石川,純米酒,1462.0,25.0,2021
福井,純米酒,371.0,20.0,2021
岐阜,純米酒,594.0,33.0,2021
静岡,純米酒,773.0,24.0,2021
愛知,純米酒,310.0,24.0,2021
三重,純米酒,385.0,25.0,2021
滋賀,純米酒,340.0,27.0,2021
京都,純米酒,4891.0,30.0,2021
大阪,純米酒,128.0,10.0,2021
兵庫,純米酒,13674.0,53.0,2021
奈良,純米酒,681.0,25.0,2021
和歌山,純米酒,463.0,9.0,2021
鳥取,純米酒,75.0,7.0,2021
島根,純米酒,370.0,21.0,2021
岡山,純米酒,229.0,20.0,2021
広島,純米酒,1177.0,34.0,2021
山口,純米酒,333.0,13.0,2021
徳島,純米酒,51.0,9.0,2021
香川,純米酒,145.0,6.0,2021
愛媛,純米酒,59.0,13.0,2021
高知,純米酒,1147.0,16.0,2021
福岡,純米酒,638.0,29.0,2021
佐賀,純米酒,641.0,21.0,2021
長崎,純米酒,104.0,7.0,2021
熊本,純米酒,149.0,9.0,2021
大分,純米酒,238.0,15.0,2021
北海道,純米吟醸酒,469.0,14.0,2021
青森,純米吟醸酒,926.0,17.0,2021
岩手,純米吟醸酒,766.0,20.0,2021
宮城,純米吟醸酒,1202.0,26.0,2021
秋田,純米吟醸酒,1931.0,28.0,2021
山形,純米吟醸酒,2531.0,44.0,2021
福島,純米吟醸酒,2243.0,54.0,2021
茨城,純米吟醸酒,467.0,25.0,2021
栃木,純米吟醸酒,1085.0,22.0,2021
群馬,純米吟醸酒,409.0,17.0,2021
埼玉,純米吟醸酒,337.0,24.0,2021
新潟,純米吟醸酒,6800.0,79.0,2021
長野,純米吟醸酒,1768.0,65.0,2021
千葉,純米吟醸酒,466.0,18.0,2021
東京,純米吟醸酒,278.0,7.0,2021
神奈川,純米吟醸酒,202.0,11.0,2021
山梨,純米吟醸酒,847.0,9.0,2021
富山,純米吟醸酒,838.0,15.0,2021
石川,純米吟醸酒,659.0,24.0,2021
福井,純米吟醸酒,896.0,20.0,2021
岐阜,純米吟醸酒,935.0,33.0,2021
静岡,純米吟醸酒,836.0,25.0,2021
愛知,純米吟醸酒,695.0,28.0,2021
三重,純米吟醸酒,1004.0,24.0,2021
滋賀,純米吟醸酒,484.0,28.0,2021
京都,純米吟醸酒,2647.0,30.0,2021
大阪,純米吟醸酒,139.0,11.0,2021
兵庫,純米吟醸酒,3360.0,50.0,2021
奈良,純米吟醸酒,714.0,25.0,2021
和歌山,純米吟醸酒,599.0,9.0,2021
鳥取,純米吟醸酒,211.0,10.0,2021
島根,純米吟醸酒,338.0,24.0,2021
岡山,純米吟醸酒,301.0,21.0,2021
広島,純米吟醸酒,1132.0,35.0,2021
山口,純米吟醸酒,5540.0,19.0,2021
徳島,純米吟醸酒,84.0,8.0,2021
香川,純米吟醸酒,99.0,7.0,2021
愛媛,純米吟醸酒,262.0,20.0,2021
高知,純米吟醸酒,964.0,18.0,2021
福岡,純米吟醸酒,616.0,35.0,2021
佐賀,純米吟醸酒,558.0,19.0,2021
長崎,純米吟醸酒,132.0,10.0,2021
熊本,純米吟醸酒,142.0,9.0,2021
大分,純米吟醸酒,104.0,15.0,2021
北海道,吟醸酒,82.0,10.0,2021
青森,吟醸酒,89.0,11.0,2021
岩手,吟醸酒,159.0,14.0,2021
宮城,吟醸酒,112.0,18.0,2021
秋田,吟醸酒,1681.0,20.0,2021
山形,吟醸酒,674.0,29.0,2021
福島,吟醸酒,396.0,43.0,2021
茨城,吟醸酒,61.0,18.0,2021
栃木,吟醸酒,191.0,18.0,2021
群馬,吟醸酒,143.0,12.0,2021
埼玉,吟醸酒,447.0,20.0,2021
新潟,吟醸酒,4972.0,70.0,2021
長野,吟醸酒,166.0,37.0,2021
千葉,吟醸酒,95.0,12.0,2021
東京,吟醸酒,33.0,5.0,2021
神奈川,吟醸酒,73.0,6.0,2021
山梨,吟醸酒,14.0,5.0,2021
富山,吟醸酒,130.0,11.0,2021
石川,吟醸酒,206.0,13.0,2021
福井,吟醸酒,321.0,11.0,2021
岐阜,吟醸酒,367.0,25.0,2021
静岡,吟醸酒,124.0,15.0,2021
愛知,吟醸酒,263.0,21.0,2021
三重,吟醸酒,58.0,13.0,2021
滋賀,吟醸酒,30.0,9.0,2021
京都,吟醸酒,1698.0,18.0,2021
大阪,吟醸酒,45.0,9.0,2021
兵庫,吟醸酒,2901.0,36.0,2021
奈良,吟醸酒,28.0,8.0,2021
和歌山,吟醸酒,58.0,9.0,2021
鳥取,吟醸酒,4.0,4.0,2021
島根,吟醸酒,17.0,7.0,2021
岡山,吟醸酒,44.0,15.0,2021
広島,吟醸酒,364.0,26.0,2021
山口,吟醸酒,180.0,8.0,2021
徳島,吟醸酒,74.0,4.0,2021
香川,吟醸酒,47.0,5.0,2021
愛媛,吟醸酒,94.0,15.0,2021
高知,吟醸酒,145.0,14.0,2021
福岡,吟醸酒,122.0,21.0,2021
佐賀,吟醸酒,63.0,11.0,2021
長崎,吟醸酒,36.0,6.0,2021
熊本,吟醸酒,31.0,6.0,2021
大分,吟醸酒,27.0,9.0,2021
北海道,本醸造酒,241.0,11.0,2021
青森,本醸造酒,87.0,7.0,2021
岩手,本醸造酒,237.0,12.0,2021
宮城,本醸造酒,996.0,19.0,2021
秋田,本醸造酒,829.0,18.0,2021
山形,本醸造酒,597.0,25.0,2021
福島,本醸造酒,564.0,30.0,2021
茨城,本醸造酒,116.0,21.0,2021
栃木,本醸造酒,96.0,13.0,2021
群馬,本醸造酒,397.0,12.0,2021
埼玉,本醸造酒,328.0,16.0,2021
新潟,本醸造酒,5404.0,64.0,2021
長野,本醸造酒,482.0,37.0,2021
千葉,本醸造酒,61.0,10.0,2021
東京,本醸造酒,185.0,6.0,2021
神奈川,本醸造酒,22.0,3.0,2021
山梨,本醸造酒,79.0,6.0,2021
富山,本醸造酒,580.0,9.0,2021
石川,本醸造酒,202.0,15.0,2021
福井,本醸造酒,103.0,10.0,2021
岐阜,本醸造酒,216.0,27.0,2021
静岡,本醸造酒,584.0,17.0,2021
愛知,本醸造酒,124.0,20.0,2021
三重,本醸造酒,123.0,12.0,2021
滋賀,本醸造酒,60.0,12.0,2021
京都,本醸造酒,1094.0,17.0,2021
大阪,本醸造酒,57.0,5.0,2021
兵庫,本醸造酒,3785.0,33.0,2021
奈良,本醸造酒,134.0,14.0,2021
和歌山,本醸造酒,29.0,3.0,2021
鳥取,本醸造酒,,2.0,2021
島根,本醸造酒,,6.0,2021
岡山,本醸造酒,132.0,11.0,2021
広島,本醸造酒,419.0,19.0,2021
山口,本醸造酒,39.0,6.0,2021
徳島,本醸造酒,33.0,5.0,2021
香川,本醸造酒,172.0,3.0,2021
愛媛,本醸造酒,62.0,10.0,2021
高知,本醸造酒,254.0,9.0,2021
福岡,本醸造酒,174.0,19.0,2021
佐賀,本醸造酒,128.0,11.0,2021
長崎,本醸造酒,80.0,4.0,2021
熊本,本醸造酒,,4.0,2021
大分,本醸造酒,66.0,8.0,2021
北海道,一般酒全体,997.0,10.0,2021
青森,一般酒全体,471.0,9.0,2021
岩手,一般酒全体,503.0,16.0,2021
宮城,一般酒全体,211.0,14.0,2021
秋田,一般酒全体,5295.0,22.0,2021
山形,一般酒全体,479.0,24.0,2021
福島,一般酒全体,1636.0,38.0,2021
茨城,一般酒全体,849.0,20.0,2021
栃木,一般酒全体,3840.0,20.0,2021
群馬,一般酒全体,443.0,8.0,2021
埼玉,一般酒全体,12863.0,16.0,2021
新潟,一般酒全体,6595.0,64.0,2021
長野,一般酒全体,1470.0,37.0,2021
千葉,一般酒全体,4418.0,13.0,2021
東京,一般酒全体,146.0,6.0,2021
神奈川,一般酒全体,48.0,7.0,2021
山梨,一般酒全体,4267.0,7.0,2021
富山,一般酒全体,484.0,10.0,2021
石川,一般酒全体,300.0,10.0,2021
福井,一般酒全体,492.0,13.0,2021
岐阜,一般酒全体,783.0,24.0,2021
静岡,一般酒全体,363.0,12.0,2021
愛知,一般酒全体,6213.0,18.0,2021
三重,一般酒全体,162.0,10.0,2021
滋賀,一般酒全体,1520.0,18.0,2021
京都,一般酒全体,39933.0,23.0,2021
大阪,一般酒全体,92.0,9.0,2021
兵庫,一般酒全体,68075.0,39.0,2021
奈良,一般酒全体,312.0,17.0,2021
和歌山,一般酒全体,271.0,5.0,2021
鳥取,一般酒全体,59.0,6.0,2021
島根,一般酒全体,159.0,9.0,2021
岡山,一般酒全体,277.0,14.0,2021
広島,一般酒全体,2640.0,24.0,2021
山口,一般酒全体,338.0,13.0,2021
徳島,一般酒全体,21.0,5.0,2021
香川,一般酒全体,78.0,3.0,2021
愛媛,一般酒全体,331.0,8.0,2021
高知,一般酒全体,730.0,11.0,2021
福岡,一般酒全体,520.0,27.0,2021
佐賀,一般酒全体,266.0,15.0,2021
長崎,一般酒全体,151.0,6.0,2021
熊本,一般酒全体,,8.0,2021
大分,一般酒全体,621.0,14.0,2021
北海道,清酒全体,2738.0,16.0,2022
青森,清酒全体,2549.0,16.0,2022
岩手,清酒全体,2336.0,22.0,2022
宮城,清酒全体,5515.0,29.0,2022
秋田,清酒全体,11981.0,33.0,2022
山形,清酒全体,6171.0,43.0,2022
福島,清酒全体,6874.0,56.0,2022
茨城,清酒全体,2064.0,25.0,2022
栃木,清酒全体,6588.0,26.0,2022
群馬,清酒全体,1810.0,17.0,2022
埼玉,清酒全体,19391.0,24.0,2022
新潟,清酒全体,28727.0,84.0,2022
長野,清酒全体,5721.0,67.0,2022
千葉,清酒全体,5381.0,25.0,2022
東京,清酒全体,1020.0,7.0,2022
神奈川,清酒全体,766.0,14.0,2022
山梨,清酒全体,7547.0,10.0,2022
富山,清酒全体,2464.0,16.0,2022
石川,清酒全体,3117.0,24.0,2022
福井,清酒全体,2401.0,23.0,2022
岐阜,清酒全体,2855.0,38.0,2022
静岡,清酒全体,3093.0,23.0,2022
愛知,清酒全体,8693.0,32.0,2022
三重,清酒全体,1808.0,26.0,2022
滋賀,清酒全体,2250.0,29.0,2022
京都,清酒全体,50866.0,38.0,2022
大阪,清酒全体,522.0,11.0,2022
兵庫,清酒全体,90276.0,57.0,2022
奈良,清酒全体,2192.0,28.0,2022
和歌山,清酒全体,1850.0,9.0,2022
鳥取,清酒全体,477.0,12.0,2022
島根,清酒全体,1313.0,27.0,2022
岡山,清酒全体,1303.0,22.0,2022
広島,清酒全体,6055.0,38.0,2022
山口,清酒全体,7105.0,21.0,2022
徳島,清酒全体,246.0,9.0,2022
香川,清酒全体,629.0,7.0,2022
愛媛,清酒全体,900.0,21.0,2022
高知,清酒全体,3786.0,19.0,2022
福岡,清酒全体,2261.0,34.0,2022
佐賀,清酒全体,2036.0,20.0,2022
長崎,清酒全体,666.0,11.0,2022
熊本,清酒全体,691.0,9.0,2022
大分,清酒全体,1032.0,18.0,2022
北海道,純米酒,1030.0,16.0,2022
青森,純米酒,1189.0,14.0,2022
岩手,純米酒,498.0,18.0,2022
宮城,純米酒,2302.0,25.0,2022
秋田,純米酒,2354.0,33.0,2022
山形,純米酒,1482.0,38.0,2022
福島,純米酒,1907.0,48.0,2022
茨城,純米酒,629.0,21.0,2022
栃木,純米酒,898.0,19.0,2022
群馬,純米酒,264.0,16.0,2022
埼玉,純米酒,1275.0,21.0,2022
新潟,純米酒,2829.0,68.0,2022
長野,純米酒,1291.0,57.0,2022
千葉,純米酒,398.0,17.0,2022
東京,純米酒,269.0,6.0,2022
神奈川,純米酒,221.0,10.0,2022
山梨,純米酒,1811.0,10.0,2022
富山,純米酒,220.0,11.0,2022
石川,純米酒,1685.0,23.0,2022
福井,純米酒,398.0,21.0,2022
岐阜,純米酒,495.0,31.0,2022
静岡,純米酒,897.0,22.0,2022
愛知,純米酒,440.0,26.0,2022
三重,純米酒,396.0,23.0,2022
滋賀,純米酒,421.0,27.0,2022
京都,純米酒,5268.0,31.0,2022
大阪,純米酒,155.0,9.0,2022
兵庫,純米酒,10255.0,54.0,2022
奈良,純米酒,788.0,25.0,2022
和歌山,純米酒,506.0,9.0,2022
鳥取,純米酒,99.0,8.0,2022
島根,純米酒,571.0,25.0,2022
岡山,純米酒,240.0,20.0,2022
広島,純米酒,1199.0,35.0,2022
山口,純米酒,448.0,14.0,2022
徳島,純米酒,59.0,9.0,2022
香川,純米酒,162.0,6.0,2022
愛媛,純米酒,68.0,13.0,2022
高知,純米酒,1294.0,16.0,2022
福岡,純米酒,658.0,27.0,2022
佐賀,純米酒,760.0,20.0,2022
長崎,純米酒,122.0,8.0,2022
熊本,純米酒,204.0,9.0,2022
大分,純米酒,296.0,16.0,2022
北海道,純米吟醸酒,580.0,15.0,2022
青森,純米吟醸酒,826.0,14.0,2022
岩手,純米吟醸酒,931.0,18.0,2022
宮城,純米吟醸酒,1427.0,26.0,2022
秋田,純米吟醸酒,2265.0,31.0,2022
山形,純米吟醸酒,2651.0,42.0,2022
福島,純米吟醸酒,2253.0,54.0,2022
茨城,純米吟醸酒,453.0,23.0,2022
栃木,純米吟醸酒,1323.0,24.0,2022
群馬,純米吟醸酒,494.0,17.0,2022
埼玉,純米吟醸酒,347.0,24.0,2022
新潟,純米吟醸酒,8234.0,80.0,2022
長野,純米吟醸酒,1926.0,64.0,2022
千葉,純米吟醸酒,643.0,22.0,2022
東京,純米吟醸酒,322.0,7.0,2022
神奈川,純米吟醸酒,367.0,14.0,2022
山梨,純米吟醸酒,926.0,9.0,2022
富山,純米吟醸酒,986.0,16.0,2022
石川,純米吟醸酒,687.0,22.0,2022
福井,純米吟醸酒,985.0,21.0,2022
岐阜,純米吟醸酒,1070.0,31.0,2022
静岡,純米吟醸酒,1022.0,22.0,2022
愛知,純米吟醸酒,999.0,25.0,2022
三重,純米吟醸酒,1081.0,24.0,2022
滋賀,純米吟醸酒,574.0,29.0,2022
京都,純米吟醸酒,3243.0,32.0,2022
大阪,純米吟醸酒,146.0,10.0,2022
兵庫,純米吟醸酒,2977.0,48.0,2022
奈良,純米吟醸酒,848.0,25.0,2022
和歌山,純米吟醸酒,635.0,9.0,2022
鳥取,純米吟醸酒,263.0,12.0,2022
島根,純米吟醸酒,441.0,27.0,2022
岡山,純米吟醸酒,363.0,21.0,2022
広島,純米吟醸酒,1080.0,36.0,2022
山口,純米吟醸酒,6078.0,19.0,2022
徳島,純米吟醸酒,78.0,8.0,2022
香川,純米吟醸酒,121.0,7.0,2022
愛媛,純米吟醸酒,358.0,20.0,2022
高知,純米吟醸酒,1245.0,19.0,2022
福岡,純米吟醸酒,704.0,32.0,2022
佐賀,純米吟醸酒,663.0,19.0,2022
長崎,純米吟醸酒,173.0,11.0,2022
熊本,純米吟醸酒,205.0,9.0,2022
大分,純米吟醸酒,116.0,15.0,2022
北海道,吟醸酒,64.0,7.0,2022
青森,吟醸酒,106.0,9.0,2022
岩手,吟醸酒,154.0,15.0,2022
宮城,吟醸酒,143.0,19.0,2022
秋田,吟醸酒,1563.0,21.0,2022
山形,吟醸酒,701.0,32.0,2022
福島,吟醸酒,439.0,44.0,2022
茨城,吟醸酒,51.0,13.0,2022
栃木,吟醸酒,284.0,19.0,2022
群馬,吟醸酒,94.0,12.0,2022
埼玉,吟醸酒,755.0,18.0,2022
新潟,吟醸酒,5307.0,70.0,2022
長野,吟醸酒,193.0,34.0,2022
千葉,吟醸酒,124.0,16.0,2022
東京,吟醸酒,45.0,5.0,2022
神奈川,吟醸酒,76.0,8.0,2022
山梨,吟醸酒,13.0,4.0,2022
富山,吟醸酒,120.0,11.0,2022
石川,吟醸酒,179.0,14.0,2022
福井,吟醸酒,406.0,11.0,2022
岐阜,吟醸酒,323.0,25.0,2022
静岡,吟醸酒,143.0,18.0,2022
愛知,吟醸酒,258.0,19.0,2022
三重,吟醸酒,47.0,12.0,2022
滋賀,吟醸酒,26.0,9.0,2022
京都,吟醸酒,1842.0,17.0,2022
大阪,吟醸酒,45.0,8.0,2022
兵庫,吟醸酒,2742.0,34.0,2022
奈良,吟醸酒,40.0,12.0,2022
和歌山,吟醸酒,64.0,9.0,2022
鳥取,吟醸酒,10.0,6.0,2022
島根,吟醸酒,37.0,10.0,2022
岡山,吟醸酒,72.0,15.0,2022
広島,吟醸酒,401.0,27.0,2022
山口,吟醸酒,190.0,10.0,2022
徳島,吟醸酒,59.0,5.0,2022
香川,吟醸酒,76.0,4.0,2022
愛媛,吟醸酒,91.0,14.0,2022
高知,吟醸酒,136.0,13.0,2022
福岡,吟醸酒,146.0,17.0,2022
佐賀,吟醸酒,63.0,11.0,2022
長崎,吟醸酒,37.0,7.0,2022
熊本,吟醸酒,,6.0,2022
大分,吟醸酒,31.0,10.0,2022
北海道,本醸造酒,209.0,10.0,2022
青森,本醸造酒,117.0,8.0,2022
岩手,本醸造酒,290.0,12.0,2022
宮城,本醸造酒,1418.0,19.0,2022
秋田,本醸造酒,897.0,20.0,2022
山形,本醸造酒,663.0,27.0,2022
福島,本醸造酒,446.0,30.0,2022
茨城,本醸造酒,145.0,20.0,2022
栃木,本醸造酒,150.0,14.0,2022
群馬,本醸造酒,416.0,12.0,2022
埼玉,本醸造酒,358.0,13.0,2022
新潟,本醸造酒,5312.0,56.0,2022
長野,本醸造酒,568.0,38.0,2022
千葉,本醸造酒,131.0,14.0,2022
東京,本醸造酒,159.0,5.0,2022
神奈川,本醸造酒,50.0,5.0,2022
山梨,本醸造酒,111.0,6.0,2022
富山,本醸造酒,537.0,8.0,2022
石川,本醸造酒,344.0,16.0,2022
福井,本醸造酒,114.0,14.0,2022
岐阜,本醸造酒,241.0,24.0,2022
静岡,本醸造酒,676.0,15.0,2022
愛知,本醸造酒,219.0,20.0,2022
三重,本醸造酒,144.0,10.0,2022
滋賀,本醸造酒,71.0,13.0,2022
京都,本醸造酒,1200.0,18.0,2022
大阪,本醸造酒,80.0,6.0,2022
兵庫,本醸造酒,4415.0,28.0,2022
奈良,本醸造酒,150.0,12.0,2022
和歌山,本醸造酒,46.0,3.0,2022
鳥取,本醸造酒,16.0,3.0,2022
島根,本醸造酒,69.0,9.0,2022
岡山,本醸造酒,287.0,10.0,2022
広島,本醸造酒,592.0,20.0,2022
山口,本醸造酒,50.0,8.0,2022
徳島,本醸造酒,32.0,4.0,2022
香川,本醸造酒,191.0,3.0,2022
愛媛,本醸造酒,75.0,10.0,2022
高知,本醸造酒,268.0,11.0,2022
福岡,本醸造酒,178.0,16.0,2022
佐賀,本醸造酒,152.0,12.0,2022
長崎,本醸造酒,94.0,5.0,2022
熊本,本醸造酒,,5.0,2022
大分,本醸造酒,101.0,8.0,2022
北海道,一般酒全体,855.0,9.0,2022
青森,一般酒全体,312.0,11.0,2022
岩手,一般酒全体,464.0,16.0,2022
宮城,一般酒全体,224.0,14.0,2022
