prefecture,sake_type,production_20deg_kl,brewery_count,year
秋田,一般酒全体,4902.0,22.0,2022
山形,一般酒全体,675.0,22.0,2022
福島,一般酒全体,1829.0,40.0,2022
茨城,一般酒全体,786.0,17.0,2022
栃木,一般酒全体,3934.0,19.0,2022
群馬,一般酒全体,543.0,8.0,2022
埼玉,一般酒全体,16656.0,14.0,2022
新潟,一般酒全体,7045.0,62.0,2022
長野,一般酒全体,1743.0,40.0,2022
千葉,一般酒全体,4085.0,16.0,2022
東京,一般酒全体,225.0,6.0,2022
神奈川,一般酒全体,53.0,8.0,2022
山梨,一般酒全体,4685.0,7.0,2022
富山,一般酒全体,602.0,9.0,2022
石川,一般酒全体,222.0,11.0,2022
福井,一般酒全体,497.0,15.0,2022
岐阜,一般酒全体,727.0,23.0,2022
静岡,一般酒全体,357.0,12.0,2022
愛知,一般酒全体,6776.0,18.0,2022
三重,一般酒全体,141.0,10.0,2022
滋賀,一般酒全体,1158.0,19.0,2022
京都,一般酒全体,39312.0,21.0,2022
大阪,一般酒全体,95.0,8.0,2022
兵庫,一般酒全体,69887.0,39.0,2022
奈良,一般酒全体,366.0,18.0,2022
和歌山,一般酒全体,599.0,6.0,2022
鳥取,一般酒全体,90.0,9.0,2022
島根,一般酒全体,197.0,15.0,2022
岡山,一般酒全体,342.0,16.0,2022
広島,一般酒全体,2782.0,23.0,2022
山口,一般酒全体,340.0,14.0,2022
徳島,一般酒全体,18.0,5.0,2022
香川,一般酒全体,79.0,3.0,2022
愛媛,一般酒全体,308.0,8.0,2022
高知,一般酒全体,843.0,11.0,2022
福岡,一般酒全体,576.0,24.0,2022
佐賀,一般酒全体,396.0,17.0,2022
長崎,一般酒全体,241.0,7.0,2022
熊本,一般酒全体,,8.0,2022
大分,一般酒全体,488.0,12.0,2022
北海道,清酒全体,2884.0,15.0,2023
青森,清酒全体,2864.0,16.0,2023
岩手,清酒全体,2529.0,22.0,2023
宮城,清酒全体,5197.0,29.0,2023
秋田,清酒全体,11507.0,32.0,2023
山形,清酒全体,6267.0,45.0,2023
福島,清酒全体,6478.0,52.0,2023
茨城,清酒全体,2077.0,26.0,2023
栃木,清酒全体,6544.0,25.0,2023
群馬,清酒全体,1820.0,19.0,2023
埼玉,清酒全体,15681.0,23.0,2023
新潟,清酒全体,27689.0,78.0,2023
長野,清酒全体,5922.0,66.0,2023
千葉,清酒全体,5361.0,25.0,2023
東京,清酒全体,1039.0,10.0,2023
神奈川,清酒全体,826.0,13.0,2023
山梨,清酒全体,7438.0,10.0,2023
富山,清酒全体,3016.0,16.0,2023
石川,清酒全体,3333.0,19.0,2023
福井,清酒全体,2421.0,21.0,2023
岐阜,清酒全体,3245.0,37.0,2023
静岡,清酒全体,2849.0,24.0,2023
愛知,清酒全体,8770.0,31.0,2023
三重,清酒全体,1967.0,24.0,2023
滋賀,清酒全体,1939.0,29.0,2023
京都,清酒全体,51087.0,38.0,2023
大阪,清酒全体,628.0,11.0,2023
兵庫,清酒全体,81102.0,58.0,2023
奈良,清酒全体,2214.0,26.0,2023
和歌山,清酒全体,1659.0,8.0,2023
鳥取,清酒全体,436.0,12.0,2023
島根,清酒全体,1464.0,28.0,2023
岡山,清酒全体,1154.0,24.0,2023
広島,清酒全体,5687.0,34.0,2023
山口,清酒全体,6830.0,21.0,2023
徳島,清酒全体,255.0,10.0,2023
香川,清酒全体,616.0,7.0,2023
愛媛,清酒全体,909.0,19.0,2023
高知,清酒全体,3800.0,18.0,2023
福岡,清酒全体,2319.0,33.0,2023
佐賀,清酒全体,2030.0,21.0,2023
長崎,清酒全体,715.0,10.0,2023
熊本,清酒全体,756.0,8.0,2023
大分,清酒全体,1129.0,19.0,2023
北海道,純米酒,958.0,15.0,2023
青森,純米酒,1207.0,14.0,2023
岩手,純米酒,601.0,20.0,2023
宮城,純米酒,2154.0,26.0,2023
秋田,純米酒,2316.0,32.0,2023
山形,純米酒,1476.0,40.0,2023
福島,純米酒,1895.0,47.0,2023
茨城,純米酒,551.0,22.0,2023
栃木,純米酒,1206.0,21.0,2023
群馬,純米酒,256.0,16.0,2023
埼玉,純米酒,1019.0,20.0,2023
新潟,純米酒,2805.0,65.0,2023
長野,純米酒,1236.0,54.0,2023
千葉,純米酒,438.0,20.0,2023
東京,純米酒,346.0,6.0,2023
神奈川,純米酒,264.0,11.0,2023
山梨,純米酒,1980.0,10.0,2023
富山,純米酒,242.0,12.0,2023
石川,純米酒,1954.0,19.0,2023
福井,純米酒,365.0,20.0,2023
岐阜,純米酒,627.0,32.0,2023
静岡,純米酒,929.0,21.0,2023
愛知,純米酒,476.0,24.0,2023
三重,純米酒,396.0,21.0,2023
滋賀,純米酒,401.0,27.0,2023
京都,純米酒,3537.0,29.0,2023
大阪,純米酒,180.0,9.0,2023
兵庫,純米酒,8668.0,53.0,2023
奈良,純米酒,871.0,25.0,2023
和歌山,純米酒,459.0,8.0,2023
鳥取,純米酒,104.0,7.0,2023
島根,純米酒,544.0,25.0,2023
岡山,純米酒,296.0,20.0,2023
広島,純米酒,1177.0,32.0,2023
山口,純米酒,443.0,14.0,2023
徳島,純米酒,68.0,10.0,2023
香川,純米酒,117.0,6.0,2023
愛媛,純米酒,68.0,12.0,2023
高知,純米酒,1256.0,16.0,2023
福岡,純米酒,755.0,28.0,2023
佐賀,純米酒,749.0,21.0,2023
長崎,純米酒,152.0,8.0,2023
熊本,純米酒,212.0,7.0,2023
大分,純米酒,268.0,18.0,2023
北海道,純米吟醸酒,651.0,14.0,2023
青森,純米吟醸酒,853.0,16.0,2023
岩手,純米吟醸酒,996.0,21.0,2023
宮城,純米吟醸酒,1399.0,26.0,2023
秋田,純米吟醸酒,2023.0,31.0,2023
山形,純米吟醸酒,2517.0,44.0,2023
福島,純米吟醸酒,2226.0,50.0,2023
茨城,純米吟醸酒,521.0,23.0,2023
栃木,純米吟醸酒,1282.0,24.0,2023
群馬,純米吟醸酒,533.0,19.0,2023
埼玉,純米吟醸酒,363.0,23.0,2023
新潟,純米吟醸酒,7391.0,75.0,2023
長野,純米吟醸酒,2231.0,64.0,2023
千葉,純米吟醸酒,661.0,21.0,2023
東京,純米吟醸酒,289.0,9.0,2023
神奈川,純米吟醸酒,342.0,13.0,2023
山梨,純米吟醸酒,875.0,9.0,2023
富山,純米吟醸酒,829.0,16.0,2023
石川,純米吟醸酒,782.0,18.0,2023
福井,純米吟醸酒,1050.0,20.0,2023
岐阜,純米吟醸酒,1085.0,30.0,2023
静岡,純米吟醸酒,825.0,23.0,2023
愛知,純米吟醸酒,941.0,25.0,2023
三重,純米吟醸酒,1151.0,23.0,2023
滋賀,純米吟醸酒,560.0,27.0,2023
京都,純米吟醸酒,2703.0,32.0,2023
大阪,純米吟醸酒,192.0,10.0,2023
兵庫,純米吟醸酒,2538.0,50.0,2023
奈良,純米吟醸酒,843.0,22.0,2023
和歌山,純米吟醸酒,609.0,8.0,2023
鳥取,純米吟醸酒,249.0,12.0,2023
島根,純米吟醸酒,503.0,28.0,2023
岡山,純米吟醸酒,348.0,22.0,2023
広島,純米吟醸酒,1044.0,31.0,2023
山口,純米吟醸酒,5887.0,18.0,2023
徳島,純米吟醸酒,90.0,8.0,2023
香川,純米吟醸酒,121.0,7.0,2023
愛媛,純米吟醸酒,356.0,19.0,2023
高知,純米吟醸酒,1146.0,18.0,2023
福岡,純米吟醸酒,706.0,33.0,2023
佐賀,純米吟醸酒,651.0,19.0,2023
長崎,純米吟醸酒,209.0,9.0,2023
熊本,純米吟醸酒,146.0,8.0,2023
大分,純米吟醸酒,133.0,14.0,2023
北海道,吟醸酒,73.0,7.0,2023
青森,吟醸酒,111.0,10.0,2023
岩手,吟醸酒,203.0,15.0,2023
宮城,吟醸酒,124.0,19.0,2023
秋田,吟醸酒,1217.0,21.0,2023
山形,吟醸酒,753.0,32.0,2023
福島,吟醸酒,409.0,39.0,2023
茨城,吟醸酒,51.0,13.0,2023
栃木,吟醸酒,364.0,17.0,2023
群馬,吟醸酒,128.0,15.0,2023
埼玉,吟醸酒,487.0,17.0,2023
新潟,吟醸酒,4456.0,64.0,2023
長野,吟醸酒,213.0,35.0,2023
千葉,吟醸酒,127.0,13.0,2023
東京,吟醸酒,46.0,6.0,2023
神奈川,吟醸酒,82.0,7.0,2023
山梨,吟醸酒,13.0,5.0,2023
富山,吟醸酒,210.0,13.0,2023
石川,吟醸酒,147.0,11.0,2023
福井,吟醸酒,343.0,10.0,2023
岐阜,吟醸酒,388.0,23.0,2023
静岡,吟醸酒,128.0,14.0,2023
愛知,吟醸酒,288.0,21.0,2023
三重,吟醸酒,50.0,11.0,2023
滋賀,吟醸酒,26.0,11.0,2023
京都,吟醸酒,1534.0,16.0,2023
大阪,吟醸酒,55.0,8.0,2023
兵庫,吟醸酒,2403.0,36.0,2023
奈良,吟醸酒,36.0,11.0,2023
和歌山,吟醸酒,48.0,8.0,2023
鳥取,吟醸酒,10.0,5.0,2023
島根,吟醸酒,41.0,10.0,2023
岡山,吟醸酒,55.0,16.0,2023
広島,吟醸酒,438.0,24.0,2023
山口,吟醸酒,155.0,10.0,2023
徳島,吟醸酒,38.0,4.0,2023
香川,吟醸酒,63.0,5.0,2023
愛媛,吟醸酒,102.0,14.0,2023
高知,吟醸酒,145.0,13.0,2023
福岡,吟醸酒,143.0,22.0,2023
佐賀,吟醸酒,73.0,13.0,2023
長崎,吟醸酒,52.0,7.0,2023
熊本,吟醸酒,,6.0,2023
大分,吟醸酒,36.0,8.0,2023
北海道,本醸造酒,252.0,10.0,2023
青森,本醸造酒,121.0,7.0,2023
岩手,本醸造酒,231.0,14.0,2023
宮城,本醸造酒,1316.0,19.0,2023
秋田,本醸造酒,854.0,21.0,2023
山形,本醸造酒,792.0,28.0,2023
福島,本醸造酒,359.0,28.0,2023
茨城,本醸造酒,195.0,21.0,2023
栃木,本醸造酒,147.0,13.0,2023
群馬,本醸造酒,460.0,14.0,2023
埼玉,本醸造酒,464.0,12.0,2023
新潟,本醸造酒,5332.0,51.0,2023
長野,本醸造酒,563.0,41.0,2023
千葉,本醸造酒,171.0,13.0,2023
東京,本醸造酒,154.0,4.0,2023
神奈川,本醸造酒,54.0,5.0,2023
山梨,本醸造酒,181.0,7.0,2023
富山,本醸造酒,828.0,9.0,2023
石川,本醸造酒,202.0,9.0,2023
福井,本醸造酒,107.0,11.0,2023
岐阜,本醸造酒,286.0,24.0,2023
静岡,本醸造酒,554.0,18.0,2023
愛知,本醸造酒,221.0,20.0,2023
三重,本醸造酒,179.0,10.0,2023
滋賀,本醸造酒,35.0,8.0,2023
京都,本醸造酒,908.0,16.0,2023
大阪,本醸造酒,96.0,7.0,2023
兵庫,本醸造酒,2814.0,27.0,2023
奈良,本醸造酒,164.0,13.0,2023
和歌山,本醸造酒,47.0,3.0,2023
鳥取,本醸造酒,6.0,3.0,2023
島根,本醸造酒,76.0,9.0,2023
岡山,本醸造酒,136.0,12.0,2023
広島,本醸造酒,626.0,21.0,2023
山口,本醸造酒,58.0,7.0,2023
徳島,本醸造酒,39.0,5.0,2023
香川,本醸造酒,254.0,4.0,2023
愛媛,本醸造酒,94.0,9.0,2023
高知,本醸造酒,300.0,12.0,2023
福岡,本醸造酒,167.0,16.0,2023
佐賀,本醸造酒,123.0,11.0,2023
長崎,本醸造酒,102.0,5.0,2023
熊本,本醸造酒,,5.0,2023
大分,本醸造酒,93.0,11.0,2023
北海道,一般酒全体,949.0,7.0,2023
青森,一般酒全体,573.0,9.0,2023
岩手,一般酒全体,498.0,16.0,2023
宮城,一般酒全体,203.0,16.0,2023
秋田,一般酒全体,5097.0,25.0,2023
山形,一般酒全体,728.0,27.0,2023
福島,一般酒全体,1588.0,37.0,2023
茨城,一般酒全体,758.0,21.0,2023
栃木,一般酒全体,3546.0,18.0,2023
群馬,一般酒全体,442.0,10.0,2023
埼玉,一般酒全体,13347.0,15.0,2023
新潟,一般酒全体,7705.0,60.0,2023
長野,一般酒全体,1678.0,42.0,2023
千葉,一般酒全体,3964.0,16.0,2023
東京,一般酒全体,205.0,9.0,2023
神奈川,一般酒全体,83.0,8.0,2023
山梨,一般酒全体,4388.0,6.0,2023
富山,一般酒全体,906.0,9.0,2023
石川,一般酒全体,247.0,9.0,2023
福井,一般酒全体,556.0,14.0,2023
岐阜,一般酒全体,860.0,20.0,2023
静岡,一般酒全体,411.0,9.0,2023
愛知,一般酒全体,6843.0,20.0,2023
三重,一般酒全体,192.0,10.0,2023
滋賀,一般酒全体,917.0,20.0,2023
京都,一般酒全体,42406.0,20.0,2023
大阪,一般酒全体,106.0,8.0,2023
兵庫,一般酒全体,64679.0,40.0,2023
奈良,一般酒全体,299.0,19.0,2023
和歌山,一般酒全体,495.0,6.0,2023
鳥取,一般酒全体,67.0,6.0,2023
島根,一般酒全体,300.0,14.0,2023
岡山,一般酒全体,320.0,15.0,2023
広島,一般酒全体,2403.0,22.0,2023
山口,一般酒全体,288.0,13.0,2023
徳島,一般酒全体,19.0,4.0,2023
香川,一般酒全体,62.0,3.0,2023
愛媛,一般酒全体,289.0,8.0,2023
高知,一般酒全体,952.0,11.0,2023
福岡,一般酒全体,548.0,25.0,2023
佐賀,一般酒全体,435.0,20.0,2023
長崎,一般酒全体,201.0,7.0,2023
熊本,一般酒全体,,8.0,2023
大分,一般酒全体,600.0,12.0,2023
北海道,清酒全体,3053.0,,2024
青森,清酒全体,3014.0,,2024
岩手,清酒全体,2440.0,,2024
宮城,清酒全体,4645.0,,2024
秋田,清酒全体,10736.0,,2024
山形,清酒全体,5633.0,,2024
福島,清酒全体,6365.0,,2024
茨城,清酒全体,1933.0,,2024
栃木,清酒全体,5638.0,,2024
群馬,清酒全体,1439.0,,2024
埼玉,清酒全体,17286.0,,2024
新潟,清酒全体,25109.0,,2024
長野,清酒全体,5616.0,,2024
千葉,清酒全体,5629.0,,2024
東京,清酒全体,1033.0,,2024
神奈川,清酒全体,889.0,,2024
山梨,清酒全体,7441.0,,2024
富山,清酒全体,2939.0,,2024
石川,清酒全体,3587.0,,2024
福井,清酒全体,2255.0,,2024
岐阜,清酒全体,3027.0,,2024
静岡,清酒全体,2773.0,,2024
愛知,清酒全体,8411.0,,2024
三重,清酒全体,1803.0,,2024
滋賀,清酒全体,1599.0,,2024
京都,清酒全体,43245.0,,2024
大阪,清酒全体,552.0,,2024
兵庫,清酒全体,76957.0,,2024
奈良,清酒全体,2055.0,,2024
和歌山,清酒全体,1494.0,,2024
鳥取,清酒全体,400.0,,2024
島根,清酒全体,1289.0,,2024
岡山,清酒全体,1166.0,,2024
広島,清酒全体,5137.0,,2024
山口,清酒全体,6971.0,,2024
徳島,清酒全体,306.0,,2024
香川,清酒全体,652.0,,2024
愛媛,清酒全体,874.0,,2024
高知,清酒全体,3564.0,,2024
福岡,清酒全体,2105.0,,2024
佐賀,清酒全体,1931.0,,2024
長崎,清酒全体,612.0,,2024
熊本,清酒全体,736.0,,2024
大分,清酒全体,1174.0,,2024
北海道,純米酒,1161.0,,2024
青森,純米酒,1410.0,,2024
岩手,純米酒,728.0,,2024
宮城,純米酒,1880.0,,2024
秋田,純米酒,2165.0,,2024
山形,純米酒,1451.0,,2024
福島,純米酒,1958.0,,2024
茨城,純米酒,430.0,,2024
栃木,純米酒,1029.0,,2024
群馬,純米酒,248.0,,2024
埼玉,純米酒,1024.0,,2024
新潟,純米酒,2924.0,,2024
長野,純米酒,1214.0,,2024
千葉,純米酒,413.0,,2024
東京,純米酒,258.0,,2024
神奈川,純米酒,261.0,,2024
山梨,純米酒,2348.0,,2024
富山,純米酒,250.0,,2024
石川,純米酒,1957.0,,2024
福井,純米酒,356.0,,2024
岐阜,純米酒,631.0,,2024
静岡,純米酒,799.0,,2024
愛知,純米酒,515.0,,2024
三重,純米酒,300.0,,2024
滋賀,純米酒,386.0,,2024
京都,純米酒,3349.0,,2024
大阪,純米酒,139.0,,2024
兵庫,純米酒,9558.0,,2024
奈良,純米酒,877.0,,2024
和歌山,純米酒,407.0,,2024
鳥取,純米酒,116.0,,2024
島根,純米酒,490.0,,2024
岡山,純米酒,234.0,,2024
広島,純米酒,1221.0,,2024
山口,純米酒,372.0,,2024
徳島,純米酒,63.0,,2024
香川,純米酒,163.0,,2024
愛媛,純米酒,66.0,,2024
高知,純米酒,1294.0,,2024
福岡,純米酒,724.0,,2024
佐賀,純米酒,715.0,,2024
長崎,純米酒,163.0,,2024
熊本,純米酒,198.0,,2024
大分,純米酒,326.0,,2024
北海道,純米吟醸酒,655.0,,2024
青森,純米吟醸酒,853.0,,2024
岩手,純米吟醸酒,898.0,,2024
宮城,純米吟醸酒,1479.0,,2024
秋田,純米吟醸酒,2363.0,,2024
山形,純米吟醸酒,2370.0,,2024
福島,純米吟醸酒,2327.0,,2024
茨城,純米吟醸酒,550.0,,2024
栃木,純米吟醸酒,1099.0,,2024
群馬,純米吟醸酒,473.0,,2024
埼玉,純米吟醸酒,403.0,,2024
新潟,純米吟醸酒,6938.0,,2024
長野,純米吟醸酒,2169.0,,2024
千葉,純米吟醸酒,741.0,,2024
東京,純米吟醸酒,302.0,,2024
神奈川,純米吟醸酒,358.0,,2024
山梨,純米吟醸酒,948.0,,2024
富山,純米吟醸酒,950.0,,2024
石川,純米吟醸酒,845.0,,2024
福井,純米吟醸酒,963.0,,2024
岐阜,純米吟醸酒,965.0,,2024
静岡,純米吟醸酒,796.0,,2024
愛知,純米吟醸酒,967.0,,2024
三重,純米吟醸酒,1175.0,,2024
滋賀,純米吟醸酒,554.0,,2024
京都,純米吟醸酒,2634.0,,2024
大阪,純米吟醸酒,164.0,,2024
兵庫,純米吟醸酒,3224.0,,2024
奈良,純米吟醸酒,713.0,,2024
和歌山,純米吟醸酒,641.0,,2024
鳥取,純米吟醸酒,219.0,,2024
島根,純米吟醸酒,440.0,,2024
岡山,純米吟醸酒,343.0,,2024
広島,純米吟醸酒,944.0,,2024
山口,純米吟醸酒,6087.0,,2024
徳島,純米吟醸酒,106.0,,2024
香川,純米吟醸酒,144.0,,2024
愛媛,純米吟醸酒,313.0,,2024
高知,純米吟醸酒,921.0,,2024
福岡,純米吟醸酒,679.0,,2024
佐賀,純米吟醸酒,645.0,,2024
長崎,純米吟醸酒,200.0,,2024
熊本,純米吟醸酒,130.0,,2024
大分,純米吟醸酒,121.0,,2024
北海道,吟醸酒,64.0,,2024
青森,吟醸酒,93.0,,2024
岩手,吟醸酒,138.0,,2024
宮城,吟醸酒,62.0,,2024
秋田,吟醸酒,1227.0,,2024
山形,吟醸酒,686.0,,2024
福島,吟醸酒,342.0,,2024
茨城,吟醸酒,39.0,,2024
栃木,吟醸酒,213.0,,2024
群馬,吟醸酒,80.0,,2024
埼玉,吟醸酒,798.0,,2024
新潟,吟醸酒,3591.0,,2024
長野,吟醸酒,180.0,,2024
千葉,吟醸酒,106.0,,2024
東京,吟醸酒,39.0,,2024
神奈川,吟醸酒,93.0,,2024
山梨,吟醸酒,22.0,,2024
富山,吟醸酒,251.0,,2024
石川,吟醸酒,180.0,,2024
福井,吟醸酒,374.0,,2024
岐阜,吟醸酒,349.0,,2024
静岡,吟醸酒,134.0,,2024
愛知,吟醸酒,290.0,,2024
三重,吟醸酒,59.0,,2024
滋賀,吟醸酒,21.0,,2024
京都,吟醸酒,1469.0,,2024
大阪,吟醸酒,45.0,,2024
兵庫,吟醸酒,2745.0,,2024
奈良,吟醸酒,36.0,,2024
和歌山,吟醸酒,42.0,,2024
鳥取,吟醸酒,8.0,,2024
島根,吟醸酒,39.0,,2024
岡山,吟醸酒,50.0,,2024
広島,吟醸酒,291.0,,2024
山口,吟醸酒,173.0,,2024
徳島,吟醸酒,70.0,,2024
香川,吟醸酒,72.0,,2024
愛媛,吟醸酒,84.0,,2024
高知,吟醸酒,129.0,,2024
福岡,吟醸酒,141.0,,2024
佐賀,吟醸酒,65.0,,2024
長崎,吟醸酒,29.0,,2024
熊本,吟醸酒,,,2024
大分,吟醸酒,37.0,,2024
北海道,本醸造酒,270.0,,2024
青森,本醸造酒,101.0,,2024
岩手,本醸造酒,224.0,,2024
宮城,本醸造酒,1023.0,,2024
秋田,本醸造酒,775.0,,2024
山形,本醸造酒,519.0,,2024
福島,本醸造酒,381.0,,2024
茨城,本醸造酒,150.0,,2024
栃木,本醸造酒,118.0,,2024
群馬,本醸造酒,156.0,,2024
埼玉,本醸造酒,527.0,,2024
新潟,本醸造酒,4924.0,,2024
長野,本醸造酒,504.0,,2024
千葉,本醸造酒,142.0,,2024
東京,本醸造酒,170.0,,2024
神奈川,本醸造酒,72.0,,2024
山梨,本醸造酒,102.0,,2024
富山,本醸造酒,867.0,,2024
石川,本醸造酒,262.0,,2024
福井,本醸造酒,106.0,,2024
岐阜,本醸造酒,260.0,,2024
静岡,本醸造酒,605.0,,2024
愛知,本醸造酒,198.0,,2024
三重,本醸造酒,124.0,,2024
滋賀,本醸造酒,53.0,,2024
京都,本醸造酒,712.0,,2024
大阪,本醸造酒,92.0,,2024
兵庫,本醸造酒,2461.0,,2024
奈良,本醸造酒,140.0,,2024
和歌山,本醸造酒,32.0,,2024
鳥取,本醸造酒,6.0,,2024
島根,本醸造酒,79.0,,2024
岡山,本醸造酒,273.0,,2024
広島,本醸造酒,406.0,,2024
山口,本醸造酒,46.0,,2024
徳島,本醸造酒,42.0,,2024
香川,本醸造酒,198.0,,2024
愛媛,本醸造酒,87.0,,2024
高知,本醸造酒,336.0,,2024
福岡,本醸造酒,153.0,,2024
佐賀,本醸造酒,137.0,,2024
長崎,本醸造酒,29.0,,2024
熊本,本醸造酒,,,2024
大分,本醸造酒,106.0,,2024
北海道,一般酒全体,903.0,,2024
青森,一般酒全体,557.0,,2024
岩手,一般酒全体,452.0,,2024
宮城,一般酒全体,200.0,,2024
秋田,一般酒全体,4206.0,,2024
山形,一般酒全体,607.0,,2024
福島,一般酒全体,1357.0,,2024
茨城,一般酒全体,765.0,,2024
栃木,一般酒全体,3179.0,,2024
群馬,一般酒全体,481.0,,2024
埼玉,一般酒全体,14534.0,,2024
新潟,一般酒全体,6732.0,,2024
長野,一般酒全体,1549.0,,2024
千葉,一般酒全体,4228.0,,2024
東京,一般酒全体,264.0,,2024
神奈川,一般酒全体,106.0,,2024
山梨,一般酒全体,4021.0,,2024
富山,一般酒全体,621.0,,2024
石川,一般酒全体,344.0,,2024
福井,一般酒全体,455.0,,2024
岐阜,一般酒全体,822.0,,2024
静岡,一般酒全体,438.0,,2024
愛知,一般酒全体,6442.0,,2024
三重,一般酒全体,146.0,,2024
滋賀,一般酒全体,585.0,,2024
京都,一般酒全体,35081.0,,2024
大阪,一般酒全体,112.0,,2024
兵庫,一般酒全体,58970.0,,2024
奈良,一般酒全体,289.0,,2024
和歌山,一般酒全体,372.0,,2024
鳥取,一般酒全体,50.0,,2024
島根,一般酒全体,241.0,,2024
岡山,一般酒全体,265.0,,2024
広島,一般酒全体,2275.0,,2024
山口,一般酒全体,294.0,,2024
徳島,一般酒全体,25.0,,2024
香川,一般酒全体,76.0,,2024
愛媛,一般酒全体,324.0,,2024
高知,一般酒全体,885.0,,2024
福岡,一般酒全体,408.0,,2024
佐賀,一般酒全体,368.0,,2024
長崎,一般酒全体,191.0,,2024
熊本,一般酒全体,,,2024
大分,一般酒全体,584.0,,2024
